8/8/3k4/8/3P2p1/3b4/4pNB1/4K3 b - -,1-0,0
8/8/3k4/3B4/3P2p1/3b4/4pN2/4K3 w - -,1-0,1
8/3k4/8/3B4/3P2p1/3b4/4pN2/4K3 b - -,1-0,2
8/3k4/8/3B4/3PN1p1/3b4/4p3/4K3 w - -,1-0,3
8/2k5/8/3B4/3PN1p1/3b4/4p3/4K3 b - -,1-0,4
8/2k5/8/3B4/3PN1p1/3b4/4pK2/8 w - -,1-0,5
8/8/1k6/3B4/3PN1p1/3b4/4pK2/8 b - -,1-0,6
8/8/1k1N4/3B4/3P2p1/3b4/4pK2/8 w - -,1-0,7
8/8/1k1N4/3B1b2/3P2p1/8/4pK2/8 b - -,1-0,8
8/8/1k1N4/3B1b2/3P2p1/6K1/4p3/8 w - -,1-0,9
8/8/1k1N4/3B1b2/3P2p1/4p1K1/8/8 b - -,1-0,10
8/8/1k6/3B1b2/3PN1p1/4p1K1/8/8 w - -,1-0,11
8/2k5/8/3B1b2/3PN1p1/4p1K1/8/8 b - -,1-0,12
8/1Bk5/8/5b2/3PN1p1/4p1K1/8/8 w - -,1-0,13
8/1B6/3k4/5b2/3PN1p1/4p1K1/8/8 b - -,1-0,14
8/1B6/3k4/2N2b2/3Pp1p1/4p1K1/8/8 w - -,1-0,15
8/1B6/3k4/2N2bp1/3Pp3/4p1K1/8/8 b - -,1-0,16
8/8/3k4/2NB1bp1/3Pp3/4p1K1/8/8 w - -,1-0,17
8/4k3/8/2NB1bp1/3Pp3/4p1K1/8/8 b - -,1-0,18
8/4k3/8/2NB1bp1/3Pp3/4p1p1/6K1/8 w - -,1-0,19
8/4k3/8/2NB1bp1/3Ppp2/4P1p1/6K1/8 b - -,1-0,20
6B1/4k3/8/2N2bp1/3Ppp2/4P1p1/6K1/8 w - -,1-0,21
2b3B1/4k3/8/2N3p1/3Ppp2/4P1p1/6K1/8 b - -,1-0,22
2b3B1/4k3/8/2N3p1/3Ppp2/4P1p1/8/6K1 w - -,1-0,23
2b3B1/4k3/8/2N2pp1/3Pp3/4P1p1/8/6K1 b - -,1-0,24
2b5/4k3/8/2N2pp1/2BPp3/4P1p1/8/6K1 w - -,1-0,25
2b5/4k3/8/2N2pp1/2BPp2p/4P1P1/8/6K1 b - -,1-0,26
2b5/4k3/8/2N2pp1/2BPp2p/4P3/6P1/6K1 w - -,1-0,27
2b5/8/5k2/2N2pp1/2BPp2p/4P3/6P1/6K1 b - -,1-0,28
